,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
1567,was,5.36530262140015,3.905957699092427,6.276873384593224,1932,172,zijn,to be,97,True,V
1568,smaakten,1.1139433523068367,1.0791812460476249,3.0633333589517497,1940,173,smaken,to taste,2,True,V
1569,werden,3.659821158055705,3.4258601450778405,5.118506117461985,1941,173,worden,to become,31,True,V
1570,geschonken,2.2833012287035497,2.2405492482826,3.111598524880394,1942,173,schenken,to give a present,1,True,V
1571,kreeg,3.8710472613054994,3.6121478383264867,4.819912271587856,1954,174,krijgen,to get,20,True,V
1572,stond,3.865340905624584,3.6061663146076204,4.806803824016762,1955,174,opstaan,to stand up,2,True,V
1573,op,5.5475827367934025,3.906388921152831,5.547595045018221,1957,174,opstaan,to stand up,2,True,V
1574,opbiechtte,0.6989700043360189,0.6989700043360189,2.342422680822206,1968,175,opbiechten,"to confess, own up",1,True,V
1575,huilde,2.724275869600789,2.635483746814912,3.6684791029325856,1969,175,huilen,"to cry, weep",5,True,V
1576,is,5.976610385885594,3.906712056942964,6.276831601248094,1974,176,zijn,to be,97,True,V
1577,worden,4.67019945161226,3.887504774235378,5.118463139775366,1979,176,worden,to become,31,True,V
1578,at,2.8273692730538253,2.7363965022766426,4.247875109624604,1983,177,eten,to eat,3,True,V
1579,smaakte,1.8388490907372552,1.8325089127062364,3.0633333589517497,1990,177,smaken,to taste,2,True,V
1580,werd,4.355164066515204,3.8138477542288545,5.118512729036299,1995,178,worden,to become,31,True,V
1581,onderzocht,2.9439888750737717,2.8615344108590377,3.472902651803664,2005,178,onderzoeken,to investigate,1,True,V
1582,overleden,3.2619761913978125,3.1061908972634154,3.4434194617828173,2011,179,overlijden,to die,1,True,V
1583,kende,3.5585885831081994,3.3569814009931314,4.382215223047534,2013,179,kennen,to know,1,True,V
1584,ging,4.34334950209931,3.82013575187043,5.574420221358287,2014,179,weggaan,to go away,4,True,V
1585,was,5.36530262140015,3.905957699092427,6.276873384593224,2023,180,zijn,to be,97,True,V
1586,had,4.964273776366518,3.9011857801371503,5.9270797094445795,2031,180,hebben,to have,64,True,V
1587,redde,2.8228216453031045,2.7234556720351857,4.195235254806065,2033,181,redden,"to save, rescue",2,True,V
